term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
array get,Array-Subcommands / Array Subcommands,Return all key-value pairs of an array as a flat list. Syntax: array get arrayName ?pattern?. With pattern: glob filter on keys. Inverse of array set: `array set b [array get a]` copies an array. Order is implementation-defined.,Liefert alle Key-Value-Paare eines Arrays als flache Liste. Syntax: array get arrayName ?pattern?. Mit Pattern: Glob-Filter auf Keys. Umkehrung von array set: `array set b [array get a]` kopiert ein Array. Reihenfolge implementierungsabhaengig.,,,,
array names,Array-Subcommands / Array Subcommands,Return list of all keys in an array. Syntax: array names arrayName ?-exact|-glob|-regexp? ?pattern?. Without options: all keys. Used to iterate: `foreach k [array names arr] { ... }`.,Liefert eine Liste aller Keys in einem Array. Syntax: array names arrayName ?-exact|-glob|-regexp? ?pattern?. Ohne Optionen: alle Keys. Zum Iterieren verwendet: `foreach k [array names arr] { ... }`.,,,,
array nextelement,Array-Subcommands / Array Subcommands,"Get the next key from an in-progress array iteration. Syntax: array nextelement arrayName searchToken. Returns the next key, or empty when iteration is done. Use only with a token from array startsearch.","Liefert den naechsten Key einer laufenden Array-Iteration. Syntax: array nextelement arrayName searchToken. Liefert den naechsten Key, oder leer wenn die Iteration beendet ist. Nur mit einem Token aus array startsearch verwenden.",,,,
array set,Array-Subcommands / Array Subcommands,Bulk-set array elements from a key-value list. Syntax: array set arrayName {key1 val1 key2 val2 ...}. List length must be even. Existing keys are overwritten; existing keys not in the list are kept. Used to load configuration tables.,Setzt Array-Elemente in Bulk aus einer Key-Value-Liste. Syntax: array set arrayName {key1 val1 key2 val2 ...}. Listenlaenge muss gerade sein. Existierende Keys werden ueberschrieben; nicht in der Liste enthaltene Keys bleiben. Zum Laden von Konfigurationstabellen.,,,,
array size,Array-Subcommands / Array Subcommands,Return the number of elements (key-value pairs) in an array. Syntax: array size arrayName. Returns 0 if the array is empty or undefined.,Liefert die Anzahl der Elemente (Key-Value-Paare) eines Arrays. Syntax: array size arrayName. Liefert 0 wenn das Array leer oder undefiniert ist.,,,,
array startsearch,Array-Subcommands / Array Subcommands,Begin an incremental iteration over an array. Syntax: array startsearch arrayName. Returns an opaque search token. Used with array nextelement and array donesearch when iterating arrays that may change during iteration (rare; foreach over [array names ...] is the usual approach).,Beginnt eine inkrementelle Iteration ueber ein Array. Syntax: array startsearch arrayName. Liefert ein opakes Such-Token. Verwendet mit array nextelement und array donesearch bei Iterationen ueber waehrend der Iteration veraenderlichen Arrays (selten; foreach ueber [array names ...] ist der uebliche Weg).,,,,
array unset,Array-Subcommands / Array Subcommands,Remove array elements (or the entire array). Syntax: array unset arrayName ?pattern?. Without pattern: removes the entire array (the variable becomes undefined). With pattern (glob): removes matching keys. Counterpart to bulk array set.,Entfernt Array-Elemente (oder das ganze Array). Syntax: array unset arrayName ?pattern?. Ohne Pattern: entfernt das ganze Array (Variable wird undefiniert). Mit Pattern (Glob): entfernt treffende Keys. Gegenstueck zum Bulk array set.,,,,
Align,Ausrichtung / Alignment,"Horizontal alignment option specifying how content is positioned (left, right, center).","Horizontale Ausrichtungsoption, die angibt, wie Inhalt positioniert wird (left, right, center).",,,,
Baseline,Ausrichtung / Alignment,"Align content along the text baseline, used for text alignment.","Inhalt an der Textgrundlinie ausrichten, wird für Textausrichtung verwendet.",,,,
Bottom,Ausrichtung / Alignment,Align content to the bottom edge; elements are positioned at the bottom of their container.,Inhalt unten ausrichten; Elemente werden am unteren Rand ihres Containers positioniert.,,,,
Justify,Ausrichtung / Alignment,Align text to both left and right margins by adjusting spacing between words.,Text sowohl links als auch rechts ausrichten durch Anpassung der Abstände zwischen Wörtern.,,,,
Left,Ausrichtung / Alignment,Align content to the left edge; text or elements start from the left side.,Inhalt linksbündig ausrichten; Text oder Elemente beginnen von der linken Seite.,,,,
Right,Ausrichtung / Alignment,Align content to the right edge; text or elements start from the right side.,Inhalt rechtsbündig ausrichten; Text oder Elemente beginnen von der rechten Seite.,,,,
Top,Ausrichtung / Alignment,Align content to the top edge; elements are positioned at the top of their container.,Inhalt oben ausrichten; Elemente werden am oberen Rand ihres Containers positioniert.,,,,
Valign (Vertical Align),Ausrichtung / Alignment,"Vertical alignment option specifying how content is positioned (top, bottom, center, baseline).","Vertikale Ausrichtungsoption, die angibt, wie Inhalt positioniert wird (top, bottom, center, baseline).",,,,
"@x,y (Index Format)",Auswahl und Selection / Selection and Current Items,"Index format specifying position by coordinates (e.g., `@100,50` in text or listbox widgets).","Index-Format, das Position durch Koordinaten angibt (z.B. `@100,50` in Text- oder Listbox-Widgets).",,,,
Active,Auswahl und Selection / Selection and Current Items,"State of widget element being interacted with (e.g., active listbox item, active menu entry).","Zustand eines Widget-Elements, mit dem interagiert wird (z.B. aktives Listbox-Element, aktiver Menüeintrag).",,,,
Active Element,Auswahl und Selection / Selection and Current Items,Currently highlighted or focused element within a widget (keyboard navigation target).,Aktuell hervorgehobenes oder fokussiertes Element innerhalb eines Widgets (Ziel der Tastaturnavigation).,,,,
Browse (Selection Mode),Auswahl und Selection / Selection and Current Items,"Selection mode like single, but selection follows mouse movement; one item always selected.","Auswahlmodus wie single, aber Auswahl folgt Mausbewegung; ein Element immer ausgewählt.",,,,
CLIPBOARD Selection,Auswahl und Selection / Selection and Current Items,Standard clipboard for copy/paste operations (Ctrl+C/Ctrl+V).,Standard-Zwischenablage für Kopieren/Einfügen-Operationen (Strg+C/Strg+V).,,,,
Current,Auswahl und Selection / Selection and Current Items,"Item under mouse pointer or having special focus in widgets like canvas or listbox (e.g., `current` tag in canvas).",Element unter Mauszeiger oder mit speziellem Fokus in Widgets wie Canvas oder Listbox (z.B. `current`-Tag in Canvas).,,,,
Export (Selection),Auswahl und Selection / Selection and Current Items,Make selection available to other applications through X11 selection mechanism.,Auswahl für andere Anwendungen über X11-Auswahl-Mechanismus verfügbar machen.,,,,
Extended (Selection Mode),Auswahl und Selection / Selection and Current Items,Selection mode allowing range selection with Shift+click and toggle with Ctrl+click.,"Auswahlmodus, der Bereichsauswahl mit Umschalt+Klick und Umschalten mit Strg+Klick erlaubt.",,,,
Index (Selection Context),Auswahl und Selection / Selection and Current Items,"Position indicator in text, listbox, or entry widget (e.g., `@x,y`, line.char, `anchor`, `end`, `insert`).","Positionsindikator in Text-, Listbox- oder Entry-Widget (z.B. `@x,y`, line.char, `anchor`, `end`, `insert`).",,,,
Multiple (Selection Mode),Auswahl und Selection / Selection and Current Items,Selection mode allowing multiple non-contiguous items via click (Ctrl+click to toggle).,"Auswahlmodus, der mehrere nicht-zusammenhängende Elemente per Klick erlaubt (Strg+Klick zum Umschalten).",,,,
PRIMARY Selection,Auswahl und Selection / Selection and Current Items,X11 selection type for middle-click paste; contains currently highlighted text.,X11-Auswahl-Typ für Mittelklick-Einfügen; enthält aktuell hervorgehobenen Text.,,,,
Selection,Auswahl und Selection / Selection and Current Items,"Currently selected text, items, or data; managed by Tk selection system for copy/paste operations.","Aktuell ausgewählter Text, Elemente oder Daten; verwaltet durch Tk-Selection-System für Kopieren/Einfügen-Operationen.",,,,
Selection Mode,Auswahl und Selection / Selection and Current Items,Determines how items can be selected in listbox or similar widgets.,"Bestimmt, wie Elemente in Listbox oder ähnlichen Widgets ausgewählt werden können.",,,,
Single (Selection Mode),Auswahl und Selection / Selection and Current Items,"Selection mode allowing only one item to be selected at a time (e.g., `listbox -selectmode single`).","Auswahlmodus, der nur ein Element gleichzeitig erlaubt (z.B. `listbox -selectmode single`).",,,,
activate,Auswahl und Selection / Selection and Current Items,Make specified item active (keyboard focus target) without selecting it.,Angegebenes Element aktiv machen (Tastaturfokus-Ziel) ohne es auszuwählen.,,,,
anchor (Selection),Auswahl und Selection / Selection and Current Items,Starting point of text selection; marks where selection began.,"Startpunkt der Textauswahl; markiert, wo Auswahl begann.",,,,
current (Canvas Tag),Auswahl und Selection / Selection and Current Items,Special canvas tag automatically assigned to item under mouse pointer.,"Spezieller Canvas-Tag, der automatisch dem Element unter Mauszeiger zugewiesen wird.",,,,
curselection,Auswahl und Selection / Selection and Current Items,"Listbox command returning indices of all currently selected items (e.g., `.listbox curselection`).","Listbox-Befehl, der Indizes aller aktuell ausgewählten Elemente zurückgibt (z.B. `.listbox curselection`).",,,,
nearest,Auswahl und Selection / Selection and Current Items,Find item nearest to specified coordinates (used in listbox and canvas).,"Element finden, das angegebenen Koordinaten am nächsten ist (verwendet in Listbox und Canvas).",,,,
see,Auswahl und Selection / Selection and Current Items,Scroll widget to make specified item or position visible.,"Widget scrollen, um angegebenes Element oder Position sichtbar zu machen.",,,,
sel (Selection Tag),Auswahl und Selection / Selection and Current Items,Special text widget tag marking selected text range.,"Spezieller Text-Widget-Tag, der ausgewählten Textbereich markiert.",,,,
selection anchor,Auswahl und Selection / Selection and Current Items,Set anchor point for selection operations in listbox or text widget.,Ankerpunkt für Auswahloperationen in Listbox oder Text-Widget setzen.,,,,
selection clear,Auswahl und Selection / Selection and Current Items,Clear current selection and release ownership.,Aktuelle Auswahl löschen und Besitz freigeben.,,,,
selection get,Auswahl und Selection / Selection and Current Items,Retrieve current selection data from clipboard or selection buffer.,Aktuelle Auswahldaten aus Zwischenablage oder Auswahl-Puffer abrufen.,,,,
selection handle,Auswahl und Selection / Selection and Current Items,Register handler to provide selection data in specific format.,"Handler registrieren, um Auswahldaten in bestimmtem Format bereitzustellen.",,,,
selection own,Auswahl und Selection / Selection and Current Items,Claim ownership of selection; widget becomes selection provider.,Besitz der Auswahl beanspruchen; Widget wird Auswahl-Anbieter.,,,,
selection set,Auswahl und Selection / Selection and Current Items,Set current selection data (PRIMARY selection in X11).,Aktuelle Auswahldaten setzen (PRIMARY-Auswahl in X11).,,,,
--enable-FEATURE / --disable-FEATURE,Autotools / GNU Build System,"Configure options to enable/disable optional features (e.g., `--enable-threads`).",Configure-Optionen zum Aktivieren/Deaktivieren optionaler Features (z.B. `--enable-threads`).,,,,
--prefix,Autotools / GNU Build System,"Configure option specifying installation directory (e.g., `./configure --prefix=/usr/local`).",Configure-Option zum Angeben des Installations-Verzeichnisses (z.B. `./configure --prefix=/usr/local`).,,,,
--with-PACKAGE / --without-PACKAGE,Autotools / GNU Build System,Configure options to include/exclude optional packages or dependencies.,Configure-Optionen zum Einschließen/Ausschließen optionaler Pakete oder Abhängigkeiten.,,,,
./configure,Autotools / GNU Build System,"Command to run configure script, checking dependencies and creating build configuration.","Befehl zum Ausführen von configure-Skript, Prüfen von Abhängigkeiten und Erstellen von Build-Konfiguration.",,,,
AC_INIT / AC_CONFIG_FILES,Autotools / GNU Build System,Core autoconf macros initializing package and specifying files to generate.,Kern-autoconf-Makros zum Initialisieren von Paket und Spezifizieren zu generierender Dateien.,,,,
AM_INIT_AUTOMAKE,Autotools / GNU Build System,Automake macro initializing automake support in configure.ac.,Automake-Makro zum Initialisieren von automake-Unterstützung in configure.ac.,,,,
Makefile.am,Autotools / GNU Build System,High-level input file for automake using simplified syntax.,High-Level-Eingabe-Datei für automake mit vereinfachter Syntax.,,,,
Makefile.in,Autotools / GNU Build System,Template Makefile generated by automake; processed by configure to create final Makefile.,Template-Makefile generiert von automake; von configure verarbeitet um finales Makefile zu erstellen.,,,,
aclocal,Autotools / GNU Build System,Tool collecting autoconf macros from system and third-party packages.,Tool zum Sammeln von autoconf-Makros von System und Drittanbieter-Paketen.,,,,
autoconf,Autotools / GNU Build System,Tool generating configure script from configure.ac for platform-specific configuration.,Tool zum Generieren von configure-Skript aus configure.ac für plattformspezifische Konfiguration.,,,,
automake,Autotools / GNU Build System,Tool generating Makefile.in from Makefile.am for consistent build system structure.,Tool zum Generieren von Makefile.in aus Makefile.am für konsistente Build-System-Struktur.,,,,
autoreconf,Autotools / GNU Build System,Tool running all autotools in correct order to update build system.,Tool zum Ausführen aller autotools in korrekter Reihenfolge um Build-System zu aktualisieren.,,,,
autoreconf -i / autoreconf --install,Autotools / GNU Build System,Install missing auxiliary files and run autotools (common first-time setup).,Fehlende Hilfsdateien installieren und autotools ausführen (übliches Erst-Setup).,,,,
autotools,Autotools / GNU Build System,"Suite of GNU build tools (autoconf, automake, libtool) for creating portable build systems.","Suite von GNU-Build-Tools (autoconf, automake, libtool) zum Erstellen portabler Build-Systeme.",,,,
bootstrap / autogen.sh,Autotools / GNU Build System,Script running autotools to generate configure script from repository checkout.,Skript zum Ausführen von autotools um configure-Skript aus Repository-Checkout zu generieren.,,,,
config.h,Autotools / GNU Build System,Header file generated by configure containing platform-specific #define statements.,Header-Datei generiert von configure mit plattformspezifischen #define-Anweisungen.,,,,
config.log,Autotools / GNU Build System,Log file from configure containing detailed test results and error messages.,Log-Datei von configure mit detaillierten Test-Ergebnissen und Fehlermeldungen.,,,,
config.status,Autotools / GNU Build System,Script generated by configure that can recreate current configuration.,"Skript generiert von configure, das aktuelle Konfiguration neu erstellen kann.",,,,
configure,Autotools / GNU Build System,Script detecting system features and generating Makefiles for specific platform.,Skript zum Erkennen von System-Features und Generieren von Makefiles für spezifische Plattform.,,,,
configure.ac / configure.in,Autotools / GNU Build System,Input file for autoconf containing macros defining configuration tests and options.,"Eingabe-Datei für autoconf mit Makros, die Konfigurations-Tests und Optionen definieren.",,,,
libtool,Autotools / GNU Build System,Generic library support script simplifying shared library creation across platforms.,"Generisches Bibliotheks-Unterstützungs-Skript, das Shared-Library-Erstellung plattformübergreifend vereinfacht.",,,,
ltmain.sh,Autotools / GNU Build System,Libtool script for building and linking libraries portably.,Libtool-Skript für portables Bauen und Linken von Bibliotheken.,,,,
m4,Autotools / GNU Build System,Macro processor used by autoconf to expand macros in configure.ac.,Makro-Prozessor verwendet von autoconf zum Expandieren von Makros in configure.ac.,,,,
BWidget,BWidget-Bibliothek / BWidget Library,"Pure-Tcl widget library providing enhanced widgets (Tree, ListBox, ComboBox, ProgressBar, etc.); portable alternative to platform-specific widgets; requires only Tcl/Tk 8.1+ (e.g., `package require BWidget`).","Reine-Tcl-Widget-Bibliothek mit erweiterten Widgets (Tree, ListBox, ComboBox, ProgressBar, etc.); portable Alternative zu plattformspezifischen Widgets; benötigt nur Tcl/Tk 8.1+ (z.B. `package require BWidget`).",,,,
BWidget ComboBox,BWidget-Bibliothek / BWidget Library,Combination of entry and dropdown list from BWidget; predates ttk::combobox.,Kombination aus Entry und Dropdown-Liste von BWidget; existiert vor ttk::combobox.,,,,
BWidget ListBox,BWidget-Bibliothek / BWidget Library,"Enhanced listbox widget with multi-column support, sorting, and selection features.","Erweitertes Listbox-Widget mit Mehrspalten-Unterstützung, Sortierung und Auswahl-Features.",,,,
BWidget ProgressBar,BWidget-Bibliothek / BWidget Library,Progress indicator widget from BWidget library; predates ttk::progressbar.,Fortschrittsanzeige-Widget aus BWidget-Bibliothek; existiert vor ttk::progressbar.,,,,
BWidget Tree,BWidget-Bibliothek / BWidget Library,Hierarchical tree widget from BWidget library for displaying tree structures with expand/collapse functionality.,Hierarchisches Baum-Widget aus BWidget-Bibliothek zur Anzeige von Baumstrukturen mit Expand/Collapse-Funktionalität.,,,,
Archive,Backup und Recovery / Backup and Recovery,"Compressed file collection for storage; backup format; examples: .tar.gz, .zip, .7z; Tcl create: vfs::zip, tar package; long-term storage; may include metadata, directory structure.","Komprimierte Datei-Sammlung für Speicherung; Backup-Format; Beispiele: .tar.gz, .zip, .7z; Tcl erstellen: vfs::zip, tar-Paket; Langzeit-Speicherung; kann Metadaten, Verzeichnis-Struktur enthalten.",,,,
Backup,Backup und Recovery / Backup and Recovery,"Copy of data for recovery; protects against data loss; strategies: full backup (all files), incremental (changes since last), differential (changes since full); Tcl can automate: `file copy`, tar/zip creation; schedule with cron/Task Scheduler.","Kopie von Daten für Wiederherstellung; schützt vor Datenverlust; Strategien: Voll-Backup (alle Dateien), inkrementell (Änderungen seit letztem), differentiell (Änderungen seit Voll); Tcl kann automatisieren: `file copy`, tar/zip-Erstellung; planen mit cron/Task Scheduler.",,,,
Restore,Backup und Recovery / Backup and Recovery,"Recover data from backup; reverses backup process; extracts files from backup archive; tests backup validity; Tcl scripts: extract tar/zip, copy files to original locations; critical to test before disaster.","Daten von Backup wiederherstellen; kehrt Backup-Prozess um; extrahiert Dateien aus Backup-Archiv; testet Backup-Gültigkeit; Tcl-Skripte: tar/zip extrahieren, Dateien zu Original-Orten kopieren; kritisch zu testen vor Katastrophe.",,,,
Snapshot,Backup und Recovery / Backup and Recovery,"Point-in-time copy of system state; filesystem or VM snapshot; allows rollback to specific moment; VCS commit is code snapshot; some filesystems support native snapshots (ZFS, Btrfs).","Punkt-in-Zeit-Kopie von System-Zustand; Dateisystem- oder VM-Snapshot; erlaubt Rollback zu spezifischem Moment; VCS-Commit ist Code-Snapshot; einige Dateisysteme unterstützen native Snapshots (ZFS, Btrfs).",,,,
Command,Befehle und Syntax / Commands and Syntax,"A Tcl instruction consisting of a command name followed by arguments, separated by spaces.","Eine Tcl-Anweisung, bestehend aus einem Befehlsnamen gefolgt von Argumenten, getrennt durch Leerzeichen.",,,,
List,Befehle und Syntax / Commands and Syntax,"An ordered collection of elements separated by spaces, fundamental to Tcl's data structures.","Eine geordnete Sammlung von Elementen, die durch Leerzeichen getrennt sind; grundlegend für Tcls Datenstrukturen.",,,,
Procedure (proc),Befehle und Syntax / Commands and Syntax,"Define new command (not a function object like in C/Python); creates command with name, parameters, and body that becomes part of interpreter's command set (e.g., `proc myproc {arg1 arg2} {...}`).","Neuen Befehl definieren (kein Funktionsobjekt wie in C/Python); erstellt Befehl mit Name, Parametern und Body, der Teil des Interpreter-Befehlssatzes wird (z.B. `proc myproc {arg1 arg2} {...}`).",,,,
Substitution,Befehle und Syntax / Commands and Syntax,"The process of replacing variables, commands in brackets, or backslash sequences with their values.","Der Prozess, bei dem Variablen, Befehle in Klammern oder Backslash-Sequenzen durch ihre Werte ersetzt werden.",,,,
Variable,Befehle und Syntax / Commands and Syntax,"A named storage location for data, accessed with the `$` prefix or `set` command.","Ein benannter Speicherplatz für Daten, auf den mit dem `$`-Präfix oder dem `set`-Befehl zugegriffen wird.",,,,
CLI (Command Line Interface),Benutzeroberflächen / User Interfaces,Interface accepting text commands; user types commands in terminal; Tcl interactive shell (tclsh) is CLI; no graphical elements.,"Oberfläche, die Text-Befehle akzeptiert; Benutzer tippt Befehle im Terminal; Tcl interaktive Shell (tclsh) ist CLI; keine grafischen Elemente.",,,,
Console,Benutzeroberflächen / User Interfaces,System text interface; in Windows: command prompt or PowerShell; in Unix/Linux: terminal; Tcl's `console` command creates debug console in Tk applications.,System-Text-Oberfläche; in Windows: Eingabeaufforderung oder PowerShell; in Unix/Linux: Terminal; Tcls `console`-Befehl erstellt Debug-Konsole in Tk-Anwendungen.,,,,
GUI (Graphical User Interface),Benutzeroberflächen / User Interfaces,"Visual interface with windows, buttons, menus, and graphical elements; Tk provides comprehensive GUI toolkit for Tcl; event-driven interaction using mouse and keyboard.","Visuelle Oberfläche mit Fenstern, Buttons, Menüs und grafischen Elementen; Tk bietet umfassendes GUI-Toolkit für Tcl; ereignisgesteuerte Interaktion mit Maus und Tastatur.",,,,
TUI (Text-based User Interface),Benutzeroberflächen / User Interfaces,"Interface using text characters only, no graphics; runs in terminal/console; Tcl can create TUIs using terminal control sequences, readline, or packages like tclreadline; also called ""Console UI"" or ""Character UI"".","Oberfläche nur mit Text-Zeichen, keine Grafik; läuft im Terminal/Konsole; Tcl kann TUIs mit Terminal-Steuersequenzen, readline oder Paketen wie tclreadline erstellen; auch ""Console UI"" oder ""Character UI"" genannt.",,,,
Terminal,Benutzeroberflächen / User Interfaces,Text-based interface for command input/output; physical terminal or terminal emulator; displays text using character grid (rows × columns).,Textbasierte Oberfläche für Befehls-Ein-/Ausgabe; physisches Terminal oder Terminal-Emulator; zeigt Text mit Zeichen-Raster (Zeilen × Spalten).,,,,
Library,Bibliotheks- und Paket-System / Library and Package System,"Collection of reusable code (procedures, packages, modules); Tcl libraries: tcllib (pure Tcl), Critcl (C-based), tklib (Tk extensions); installed in standard locations; loaded with `package require` or `source`.","Sammlung wiederverwendbaren Codes (Prozeduren, Pakete, Module); Tcl-Bibliotheken: tcllib (reines Tcl), Critcl (C-basiert), tklib (Tk-Extensions); installiert in Standard-Verzeichnissen; geladen mit `package require` oder `source`.",,,,
Module,Bibliotheks- und Paket-System / Library and Package System,Synonym for Tcl Module (.tm file); self-contained package in single file; preferred over traditional multi-file packages; loaded via `package require` like regular packages; stored in module paths.,Synonym für Tcl Module (.tm-Datei); eigenständiges Paket in einzelner Datei; bevorzugt gegenüber traditionellen Mehrdatei-Paketen; geladen über `package require` wie reguläre Pakete; gespeichert in Modul-Pfaden.,,,,
Package,Bibliotheks- und Paket-System / Library and Package System,"Distributable unit of Tcl code; defined by pkgIndex.tcl or package provide; versioned (e.g., 1.2.3); loaded with `package require PackageName ?version?`; can contain Tcl scripts, compiled extensions, or both.","Verteilbare Einheit von Tcl-Code; definiert durch pkgIndex.tcl oder package provide; versioniert (z.B. 1.2.3); geladen mit `package require PackageName ?version?`; kann Tcl-Skripte, kompilierte Extensions oder beides enthalten.",,,,
Shared Library,Bibliotheks- und Paket-System / Library and Package System,"Compiled binary extension (.so on Unix, .dll on Windows, .dylib on macOS); contains C/C++ code callable from Tcl; loaded with `load` or `package require`; provides performance-critical functionality.","Kompilierte Binär-Extension (.so auf Unix, .dll auf Windows, .dylib auf macOS); enthält C/C++-Code aufrufbar von Tcl; geladen mit `load` oder `package require`; bietet performancekritische Funktionalität.",,,,
TCLLIBPATH,Bibliotheks- und Paket-System / Library and Package System,Environment variable specifying additional package search directories; space-separated list with Tcl list syntax; overrides/extends default `auto_path`; set before starting Tcl interpreter.,"Umgebungsvariable, die zusätzliche Paket-Suchverzeichnisse spezifiziert; leerzeichengetrennte Liste mit Tcl-Listen-Syntax; überschreibt/erweitert Standard-`auto_path`; gesetzt vor Start des Tcl-Interpreters.",,,,
TM (Tcl Module),Bibliotheks- und Paket-System / Library and Package System,"Modern single-file package format (.tm extension); no pkgIndex.tcl needed; filename encodes name and version (e.g., mypackage-1.0.tm); auto-discovered in module paths; simpler than traditional packages; Tcl 8.5+.",Modernes Einzeldatei-Paket-Format (.tm-Endung); keine pkgIndex.tcl nötig; Dateiname kodiert Name und Version (z.B. mypackage-1.0.tm); automatisch in Modul-Pfaden entdeckt; einfacher als traditionelle Pakete; Tcl 8.5+.,,,,
